resourcename,resourcetype,resourcegroup,subscriptionname,recommendationdisplayname,state,severity,os,environment,businessowner,In-HyperCare-scope
st3l10141,virtualmachines,st-devops-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,linux,test,,False
st2w19011,virtualmachines,st-ctxserver2019-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,,,False
st2w3510,virtualmachines,sp2016spike,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,,,False
st4w10135,virtualmachines,st-cdppoc1-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,,False
st2w10086,virtualmachines,st-causeway-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,cat mcguiness,False
st2w10083,virtualmachines,sp2016spike,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,,,False
st4w3044,virtualmachines,st-agentcardpayment-devtest-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,devtest,phurst1,True
st2w3044,virtualmachines,st-agentcardpayment-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,phurst1,True
st4w10155,virtualmachines,st-azuredevops-agents,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,default,dean banfield,False
st4w3307m-test,virtualmachines,st-azuremigrate-prod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,,,False
st4w10008,virtualmachines,st-biophase4-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,helen.black@severntrent.co.uk,False
st2w10005,virtualmachines,st-biophase4-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,helen.black@severntrent.co.uk,False
st2w3560,virtualmachines,st-blueprism-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,shannon coleman,True
st2w3561,virtualmachines,st-blueprism-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,shannon coleman,True
st2w3562,virtualmachines,st-blueprism-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,shannon coleman,True
st4w10007,virtualmachines,st-cdcautocad-dev-uks-rg-asr,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,business lead name,False
st2w3563,virtualmachines,st-blueprism-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,shannon coleman,True
st2w3566,virtualmachines,st-blueprism-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,shannon coleman,True
st2w3572,virtualmachines,st-blueprism-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,shannon coleman,True
st2w3573,virtualmachines,st-blueprism-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,shannon coleman,True
st2w3574,virtualmachines,st-blueprism-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,shannon coleman,True
st2w3575,virtualmachines,st-blueprism-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,shannon coleman,True
st2w3582,virtualmachines,st-blueprism-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,shannon coleman,True
st2w3583,virtualmachines,st-blueprism-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,shannon coleman,True
st2w3584,virtualmachines,st-blueprism-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,shannon coleman,True
st2w3585,virtualmachines,st-blueprism-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,shannon coleman,True
st2w3587,virtualmachines,st-blueprism-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,shannon coleman,True
st2w3564,virtualmachines,st-blueprism-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,shannon coleman,True
st2w3105,virtualmachines,st-totalview-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,"towers,scott",True
